,o_id,item1_img_path,item2_img_path,occasion,item1_category,item2_category
746,2987,Amazon/images/41aqqQtoBhL.jpg,Amazon/images/41ULoeb0BRL.jpg,2,4,8
787,2902,Amazon/images/414vtEsji0L.jpg,Amazon/images/414MAocaynL.jpg,2,11,10
807,1030,Amazon/images/41yQTQK1GGL.jpg,Amazon/images/41%2BQyeeT9LL.jpg,3,5,10
809,2778,Amazon/images/41OoxAnPsoL.jpg,Amazon/images/41yqbdgEIeL.jpg,3,5,10
829,479,Amazon/images/41HmesL9RKL.jpg,Amazon/images/414vK-PXiuL.jpg,3,5,10
867,2281,Amazon/images/41sejDTwd2L.jpg,Amazon/images/41tcYHChHoL.jpg,2,11,10
897,1196,Amazon/images/41Y%2BZnsR6lL.jpg,Amazon/images/41Ca1HdjwwL.jpg,3,5,8
909,3872,Amazon/images/41fFKb9wecL.jpg,Amazon/images/41pBNiokb-L.jpg,3,5,10
919,4065,Amazon/images/418AQgAumPL.jpg,Amazon/images/41NXceFkwCL.jpg,3,5,8
966,2297,Amazon/images/41HyfejhFsL.jpg,Amazon/images/41E63AFImSL.jpg,2,4,8
967,748,Amazon/images/41r%2BcQ%2BuwxL.jpg,Amazon/images/411RTZ4a65L.jpg,3,5,6
980,1372,Amazon/images/41ACvqXCo1L.jpg,Amazon/images/4182ZwGiNXL.jpg,2,4,10
987,1172,Amazon/images/41pQSp%2Bb4wL.jpg,Amazon/images/41%2BQyeeT9LL.jpg,3,5,10
1059,3884,Amazon/images/41-295en0IL.jpg,Amazon/images/411tFNX%2B51L.jpg,3,5,10
1061,2852,Amazon/images/41OltKFeT0L.jpg,Amazon/images/414MAocaynL.jpg,3,5,10
1064,416,Amazon/images/41OTjl83vYL.jpg,Amazon/images/41VLCuXs4FL.jpg,2,4,10
1078,1539,Amazon/images/41-295en0IL.jpg,Amazon/images/413XBtx7k5L.jpg,6,5,8
1112,5957,Amazon/images/51V5LW16WwL.jpg,Amazon/images/4162-T9AazL.jpg,3,5,8
1148,5180,Amazon/images/41IOoczRRlL.jpg,Amazon/images/41n39srVFAL.jpg,2,4,10
1156,4242,Amazon/images/41QXbzohjWL.jpg,Amazon/images/41n39srVFAL.jpg,3,5,10
1171,3542,Amazon/images/41zW1Hii85L.jpg,Amazon/images/41FQKH53N%2BL.jpg,2,3,10
1188,3824,Amazon/images/41TRQVFmSzL.jpg,Amazon/images/41m0FgksT1L.jpg,3,5,10
1189,5245,Amazon/images/41Isd3hHB6L.jpg,Amazon/images/4182ZwGiNXL.jpg,3,5,10
1192,1510,Amazon/images/410nNFpo9xL.jpg,Amazon/images/41AN-y8OE2L.jpg,3,5,10
1193,5817,Amazon/images/41B8xnfG0DL.jpg,Amazon/images/41yqbdgEIeL.jpg,3,5,10
1200,4780,Amazon/images/41HmesL9RKL.jpg,Amazon/images/41NXceFkwCL.jpg,3,5,8
1216,1769,Amazon/images/51F-2Cc3%2BGL.jpg,Amazon/images/41H%2BidCkkVL.jpg,3,5,8
1224,2158,Amazon/images/41ZkKL5M5LL.jpg,Amazon/images/41ULoeb0BRL.jpg,2,11,8
1234,121,Amazon/images/41IzDWYIhzL.jpg,Amazon/images/41MCuVb7xIL.jpg,2,5,8
1246,187,Amazon/images/4111QYmlOfL.jpg,Amazon/images/51oSaj2BUCL.jpg,3,5,10
1301,518,Amazon/images/412aqfSS1pL.jpg,Amazon/images/41N1o69lE5L.jpg,2,4,1
1311,869,Amazon/images/41QXvrRAR0L.jpg,Amazon/images/411tFNX%2B51L.jpg,3,5,10
1340,3027,Amazon/images/51jblm7ikEL.jpg,Amazon/images/41m0FgksT1L.jpg,2,11,10
1359,1430,Amazon/images/513hjRocTbL.jpg,Amazon/images/41Ca1HdjwwL.jpg,2,5,8
1362,5485,Amazon/images/41GoRhb9jJL.jpg,Amazon/images/41Xxi3bUPvL.jpg,2,11,10
1367,2467,Amazon/images/41mqzcxPlwL.jpg,Amazon/images/41rcPSO4aNL.jpg,3,5,8
1415,3976,Amazon/images/41i2vF3tchL.jpg,Amazon/images/41pBNiokb-L.jpg,2,11,10
1436,1656,Amazon/images/41lDhdLqLYL.jpg,Amazon/images/41MedmiQ68L.jpg,3,5,10
1442,5429,Amazon/images/51AL3rRG-aL.jpg,Amazon/images/41NzHlC46kL.jpg,2,11,10
1459,563,Amazon/images/41F4FRiozaL.jpg,Amazon/images/41Ca1HdjwwL.jpg,3,5,8
1466,3595,Amazon/images/410EE1aCLoL.jpg,Amazon/images/51nkJErgFUL.jpg,2,11,10
1502,5896,Amazon/images/41hz%2BHdoiwL.jpg,Amazon/images/41Xxi3bUPvL.jpg,3,5,10
1519,4385,Amazon/images/41Bb2DS7phL.jpg,Amazon/images/41NXceFkwCL.jpg,3,5,8
1523,2686,Amazon/images/41iMVXNlZ2L.jpg,Amazon/images/411tFNX%2B51L.jpg,3,5,10
1537,2688,Amazon/images/41xtOb1c3UL.jpg,Amazon/images/41%2BQyeeT9LL.jpg,3,5,10
1562,868,Amazon/images/41aOAyhhbPL.jpg,Amazon/images/41N1o69lE5L.jpg,3,5,1
1575,5822,Amazon/images/41krmmjHNnL.jpg,Amazon/images/41PYIM32NHL.jpg,3,5,10
1577,2377,Amazon/images/41fBP8ATFDL.jpg,Amazon/images/41Ww5lQOsrL.jpg,2,11,10
1583,1228,Amazon/images/41WAIgVHoiL.jpg,Amazon/images/41N1o69lE5L.jpg,3,5,1
1585,2566,Amazon/images/41R5MpcW4PL.jpg,Amazon/images/41rcPSO4aNL.jpg,3,5,8
1615,3769,Amazon/images/518s3bv9OAL.jpg,Amazon/images/41Xxi3bUPvL.jpg,3,5,10
1618,4091,Amazon/images/41PxI9Wop-L.jpg,Amazon/images/41sn8E0T5QL.jpg,2,4,10
1621,4924,Amazon/images/515DEDkbusL.jpg,Amazon/images/419gCnFEHvL.jpg,2,11,10
1637,807,Amazon/images/41sgScjvp-L.jpg,Amazon/images/411tFNX%2B51L.jpg,2,11,10
1647,46,Amazon/images/41Fvz8XdGkL.jpg,Amazon/images/417B6s8tM5L.jpg,2,4,10
1648,1356,Amazon/images/51EbAmrSo6L.jpg,Amazon/images/41H%2BidCkkVL.jpg,3,5,8
1655,4014,Amazon/images/41L3GZgwRSL.jpg,Amazon/images/41qiQqqLDUL.jpg,2,11,10
1671,4239,Amazon/images/41B8xnfG0DL.jpg,Amazon/images/411tFNX%2B51L.jpg,3,5,10
1675,417,Amazon/images/41m3cqLa7NL.jpg,Amazon/images/41gi6YnWjyL.jpg,2,4,8
1677,2576,Amazon/images/51mdmNCD3SL.jpg,Amazon/images/4162-T9AazL.jpg,2,11,8
1681,269,Amazon/images/41hXmJSHQwL.jpg,Amazon/images/41MedmiQ68L.jpg,2,3,10
1692,2358,Amazon/images/41aOAyhhbPL.jpg,Amazon/images/41%2BQyeeT9LL.jpg,3,5,10
1693,1070,Amazon/images/414NbR-%2BjEL.jpg,Amazon/images/41PYIM32NHL.jpg,2,4,10
1697,5471,Amazon/images/518s3bv9OAL.jpg,Amazon/images/41WS2UdCGXL.jpg,3,5,8
1728,1472,Amazon/images/41rYh40XtfL.jpg,Amazon/images/411tFNX%2B51L.jpg,3,5,10
1738,357,Amazon/images/41VO24%2Byt6L.jpg,Amazon/images/41sjQKFsskL.jpg,2,4,8
1741,2337,Amazon/images/51EbAmrSo6L.jpg,Amazon/images/41m0FgksT1L.jpg,3,5,10
1743,5841,Amazon/images/41HmesL9RKL.jpg,Amazon/images/41m0FgksT1L.jpg,3,5,10
1747,9067,Amazon/images/51GXhy2RcFL.jpg,Amazon/images/313ahyptqUL.jpg,3,5,8
1753,662,Amazon/images/41Y%2BZnsR6lL.jpg,Amazon/images/41MCuVb7xIL.jpg,3,5,8
1759,2892,Amazon/images/41ACvqXCo1L.jpg,Amazon/images/41m0FgksT1L.jpg,2,4,10
1762,2728,Amazon/images/41ugbcCZ89L.jpg,Amazon/images/4162-T9AazL.jpg,"2,3",5,8
1772,3012,Amazon/images/41XKwXaiGBL.jpg,Amazon/images/41m0FgksT1L.jpg,3,5,10
1784,292,Amazon/images/41ACvqXCo1L.jpg,Amazon/images/411tFNX%2B51L.jpg,2,4,10
1788,1710,Amazon/images/41RW%2BApv1VL.jpg,Amazon/images/31N0bKOOhAL.jpg,2,4,10
1815,3702,Amazon/images/41HyfejhFsL.jpg,Amazon/images/51nkJErgFUL.jpg,2,4,10
1826,1680,Amazon/images/41HmesL9RKL.jpg,Amazon/images/41N1o69lE5L.jpg,3,5,1
1830,2245,Amazon/images/517NZHKey8L.jpg,Amazon/images/41tcYHChHoL.jpg,3,5,10
1835,33,Amazon/images/31gw6lNELpL.jpg,Amazon/images/41MCuVb7xIL.jpg,2,5,8
1840,1854,Amazon/images/41hp2Sz8dnL.jpg,Amazon/images/41%2BQyeeT9LL.jpg,3,5,10
1871,2143,Amazon/images/413ZMQhB9oL.jpg,Amazon/images/41%2BQyeeT9LL.jpg,3,5,10
1875,1370,Amazon/images/418AQgAumPL.jpg,Amazon/images/411tFNX%2B51L.jpg,3,5,10
1876,558,Amazon/images/51V5LW16WwL.jpg,Amazon/images/51oSaj2BUCL.jpg,3,5,10
1888,4791,Amazon/images/41QhUr4AqSL.jpg,Amazon/images/41yqbdgEIeL.jpg,3,5,10
1897,5152,Amazon/images/41XKwXaiGBL.jpg,Amazon/images/411tFNX%2B51L.jpg,3,5,10
1905,2971,Amazon/images/41m3cqLa7NL.jpg,Amazon/images/419cD9L3QiL.jpg,2,4,10
1914,2064,Amazon/images/41pQSp%2Bb4wL.jpg,Amazon/images/41Ww5lQOsrL.jpg,3,5,10
1918,70,Amazon/images/51Q91XvGgBL.jpg,Amazon/images/51oSaj2BUCL.jpg,3,5,10
1924,669,Amazon/images/41WAIgVHoiL.jpg,Amazon/images/417B6s8tM5L.jpg,3,5,10
1943,2614,Amazon/images/41hK6%2BVDPML.jpg,Amazon/images/4162-T9AazL.jpg,2,4,8
1948,641,Amazon/images/41w5hcB3h%2BL.jpg,Amazon/images/411tFNX%2B51L.jpg,3,5,10
1950,609,Amazon/images/41sCDcLwVlL.jpg,Amazon/images/41AjHrVLTtL.jpg,2,4,10
1962,1361,Amazon/images/41MO1x0xhbL.jpg,Amazon/images/4182ZwGiNXL.jpg,2,11,10
1967,986,Amazon/images/41ZYED-itBL.jpg,Amazon/images/51oSaj2BUCL.jpg,2,4,10
1968,5941,Amazon/images/411M0yImaiL.jpg,Amazon/images/313ahyptqUL.jpg,2,11,8
1981,5523,Amazon/images/41LgOLoRiBL.jpg,Amazon/images/4162-T9AazL.jpg,3,5,8
1986,646,Amazon/images/41uPM1in6DL.jpg,Amazon/images/41GWdq%2BOpyL.jpg,3,5,1
1987,127,Amazon/images/41j3WlxubaL.jpg,Amazon/images/417B6s8tM5L.jpg,2,11,10
1992,4340,Amazon/images/41R5MpcW4PL.jpg,Amazon/images/41nIHiljUfL.jpg,3,5,8
1996,58,Amazon/images/41J4e5deAbL.jpg,Amazon/images/41Ca1HdjwwL.jpg,3,5,8
2008,3794,Amazon/images/414bLUg6pdL.jpg,Amazon/images/41NXceFkwCL.jpg,3,5,8
2012,2748,Amazon/images/41kZURlDotL.jpg,Amazon/images/413YvtgV2FL.jpg,3,5,10
2027,4724,Amazon/images/41IzDWYIhzL.jpg,Amazon/images/41sn8E0T5QL.jpg,3,5,10
2028,5619,Amazon/images/41UWmuL4HrL.jpg,Amazon/images/41EF8EMZgML.jpg,2,11,10
2033,4389,Amazon/images/4111QYmlOfL.jpg,Amazon/images/41qiQqqLDUL.jpg,3,5,10
2051,4619,Amazon/images/41UK58%2BjNPL.jpg,Amazon/images/41Cr%2BAECjyL.jpg,3,5,10
2054,104,Amazon/images/41Yw2vU7zCL.jpg,Amazon/images/417B6s8tM5L.jpg,3,5,10
2057,993,Amazon/images/51EbAmrSo6L.jpg,Amazon/images/41N1o69lE5L.jpg,3,5,1
2064,2674,Amazon/images/410nNFpo9xL.jpg,Amazon/images/41m0FgksT1L.jpg,3,5,10
2065,5654,Amazon/images/41BBcY%2BFX3L.jpg,Amazon/images/41m0FgksT1L.jpg,3,5,10
2067,2823,Amazon/images/41LgOLoRiBL.jpg,Amazon/images/41m0FgksT1L.jpg,3,5,10
2073,2420,Amazon/images/41fFKb9wecL.jpg,Amazon/images/41yqbdgEIeL.jpg,"2,3",5,10
2074,5133,Amazon/images/4182dPXLVFL.jpg,Amazon/images/41yqbdgEIeL.jpg,3,5,10
2079,1570,Amazon/images/41k9fcG1qQL.jpg,Amazon/images/41Ww5lQOsrL.jpg,2,4,10
2082,5476,Amazon/images/41OltKFeT0L.jpg,Amazon/images/41TP120YxbL.jpg,3,5,8
2083,4846,Amazon/images/41J%2BbHim%2B7L.jpg,Amazon/images/411tFNX%2B51L.jpg,3,5,10
2096,2828,Amazon/images/41pKEClvSyL.jpg,Amazon/images/41yqbdgEIeL.jpg,2,4,10
2105,4318,Amazon/images/41XKwXaiGBL.jpg,Amazon/images/41qiQqqLDUL.jpg,3,5,10
2109,180,Amazon/images/41tkAU9VPrL.jpg,Amazon/images/31gN%2BxtNdoL.jpg,2,3,10
2111,3296,Amazon/images/41mgL6RzizL.jpg,Amazon/images/41NXceFkwCL.jpg,3,5,8
2113,1949,Amazon/images/41GoRhb9jJL.jpg,Amazon/images/41CAzqZTHFL.jpg,2,11,10
2115,5624,Amazon/images/51V5LW16WwL.jpg,Amazon/images/414c0cB41rL.jpg,3,5,10
2130,4848,Amazon/images/41SZ0UAQ1NL.jpg,Amazon/images/41sn8E0T5QL.jpg,2,4,10
2138,3299,Amazon/images/41ykXdk2HmL.jpg,Amazon/images/31gN%2BxtNdoL.jpg,"2,3",5,10
2145,215,Amazon/images/41TRQVFmSzL.jpg,Amazon/images/41N1o69lE5L.jpg,3,5,1
2158,3919,Amazon/images/41xtOb1c3UL.jpg,Amazon/images/41GWdq%2BOpyL.jpg,3,5,1
2160,5704,Amazon/images/511mwDMGbJL.jpg,Amazon/images/41PYIM32NHL.jpg,3,5,10
2165,3610,Amazon/images/41ugbcCZ89L.jpg,Amazon/images/31ZKv1DIcDL.jpg,6,5,10
2173,3723,Amazon/images/41Yw2vU7zCL.jpg,Amazon/images/51nkJErgFUL.jpg,6,5,10
2186,2069,Amazon/images/41Wf%2BQ-pcnL.jpg,Amazon/images/41c0BzUWxyL.jpg,2,4,10
2193,672,Amazon/images/41men9SrgaL.jpg,Amazon/images/41bt6tUEYQL.jpg,2,11,8
2198,5536,Amazon/images/519jX5aEbcL.jpg,Amazon/images/414c0cB41rL.jpg,2,3,10
2200,5744,Amazon/images/41rMMBuorIL.jpg,Amazon/images/41TP120YxbL.jpg,2,11,8
2201,1455,Amazon/images/41kZURlDotL.jpg,Amazon/images/41Ca1HdjwwL.jpg,3,5,8
2216,1101,Amazon/images/41J%2BbHim%2B7L.jpg,Amazon/images/41H%2BidCkkVL.jpg,3,5,8
2222,4747,Amazon/images/41pvguUNUYL.jpg,Amazon/images/414vK-PXiuL.jpg,2,4,10
2224,182,Amazon/images/41uKLicSMJL.jpg,Amazon/images/41Ca1HdjwwL.jpg,"2,3",5,8
2225,4792,Amazon/images/41rI0A5Si7L.jpg,Amazon/images/41Xxi3bUPvL.jpg,2,4,10
2226,444,Amazon/images/41uYvCCbXSL.jpg,Amazon/images/51oSaj2BUCL.jpg,2,3,10
2229,3805,Amazon/images/419jNH3TAtL.jpg,Amazon/images/41qiQqqLDUL.jpg,3,5,10
2234,727,Amazon/images/41fBP8ATFDL.jpg,Amazon/images/41Ca1HdjwwL.jpg,2,11,8
2236,5437,Amazon/images/41UK58%2BjNPL.jpg,Amazon/images/41Vm5Wbx4yL.jpg,3,5,10
2239,719,Amazon/images/513hjRocTbL.jpg,Amazon/images/51X6A29hWhL.jpg,3,5,10
2261,4404,Amazon/images/41aXWUZbTXL.jpg,Amazon/images/41SlSsQcv2L.jpg,2,5,1
2262,2151,Amazon/images/51PBWY7Xz1L.jpg,Amazon/images/414MAocaynL.jpg,2,11,10
2266,3498,Amazon/images/41J4e5deAbL.jpg,Amazon/images/51nkJErgFUL.jpg,"2,3",5,10
2277,5126,Amazon/images/41Pix4kPJ6L.jpg,Amazon/images/414c0cB41rL.jpg,2,11,10
2281,2336,Amazon/images/415wJHLvUTL.jpg,Amazon/images/41%2BQyeeT9LL.jpg,3,5,10
2282,4439,Amazon/images/41lYaIsaiTL.jpg,Amazon/images/41yqbdgEIeL.jpg,3,5,10
2290,3416,Amazon/images/41sU-YZAGIL.jpg,Amazon/images/31ZKv1DIcDL.jpg,3,5,10
2296,665,Amazon/images/31Q3B3y6plL.jpg,Amazon/images/31gN%2BxtNdoL.jpg,2,11,10
2304,4986,Amazon/images/41SrGTlrFfL.jpg,Amazon/images/414vK-PXiuL.jpg,6,5,10
2307,5866,Amazon/images/41Xn1tJDD4L.jpg,Amazon/images/41EF8EMZgML.jpg,3,5,10
2311,1795,Amazon/images/41TN8vsO%2BkL.jpg,Amazon/images/41N1o69lE5L.jpg,3,5,1
2316,1230,Amazon/images/41Yw2vU7zCL.jpg,Amazon/images/4182ZwGiNXL.jpg,"6,3",5,10
2320,4320,Amazon/images/51Q91XvGgBL.jpg,Amazon/images/41Cr%2BAECjyL.jpg,3,5,10
2321,24,Amazon/images/511mwDMGbJL.jpg,Amazon/images/31gN%2BxtNdoL.jpg,"2,3",5,10
2326,1947,Amazon/images/518s3bv9OAL.jpg,Amazon/images/41N1o69lE5L.jpg,3,5,1
2329,5763,Amazon/images/41SrGTlrFfL.jpg,Amazon/images/411tFNX%2B51L.jpg,3,5,10
2330,2837,Amazon/images/41R5MpcW4PL.jpg,Amazon/images/4162-T9AazL.jpg,"2,3",5,8
2331,5246,Amazon/images/41eymQ9mHML.jpg,Amazon/images/41NzHlC46kL.jpg,2,11,10
2345,11963,Amazon/images/417L0t36UeL.jpg,Amazon/images/41n39srVFAL.jpg,3,5,10
2359,9547,Amazon/images/51yuRfsjTqL.jpg,Amazon/images/41I-O-JfUPL.jpg,2,5,8
2390,11884,Amazon/images/41oK0UK6Y9L.jpg,Amazon/images/51oSaj2BUCL.jpg,2,4,10
2406,6003,Amazon/images/41CiVlmKmHL.jpg,Amazon/images/41n39srVFAL.jpg,3,5,10
2410,4476,Amazon/images/41F4FRiozaL.jpg,Amazon/images/41qiQqqLDUL.jpg,3,5,10
2452,10928,Amazon/images/514qaciMBCL.jpg,Amazon/images/41maYFVBeeL.jpg,2,11,10
2466,95,Amazon/images/41IOoczRRlL.jpg,Amazon/images/41FQKH53N%2BL.jpg,2,4,10
2473,2810,Amazon/images/41-EGQRaJiL.jpg,Amazon/images/41qiQqqLDUL.jpg,3,5,10
2474,4959,Amazon/images/41cgUY-l5%2BL.jpg,Amazon/images/41yqbdgEIeL.jpg,2,4,10
2484,364,Amazon/images/41WYFNFLbgL.jpg,Amazon/images/51X6A29hWhL.jpg,2,11,10
2508,6058,Amazon/images/41GksCvpk4L.jpg,Amazon/images/41GWdq%2BOpyL.jpg,3,5,1
2510,11261,Amazon/images/41k7eqx6vLL.jpg,Amazon/images/41Ca1HdjwwL.jpg,3,5,8
2516,11132,Amazon/images/41ovUIbFtML.jpg,Amazon/images/41Ca1HdjwwL.jpg,3,5,8
2536,308,Amazon/images/41Yk0l0b1JL.jpg,Amazon/images/41sjQKFsskL.jpg,2,11,8
2556,11477,Amazon/images/41Ls7qVZNeL.jpg,Amazon/images/41AN-y8OE2L.jpg,3,5,10
2595,926,Amazon/images/419jNH3TAtL.jpg,Amazon/images/41GWdq%2BOpyL.jpg,3,5,1
2599,9324,Amazon/images/41SLN8QsyUL.jpg,Amazon/images/41pBNiokb-L.jpg,3,5,10
2600,11051,Amazon/images/4103YXX%2BntL.jpg,Amazon/images/41m0FgksT1L.jpg,3,5,10
2613,11764,Amazon/images/41DpDyrIAQL.jpg,Amazon/images/51oSaj2BUCL.jpg,3,5,10
2654,7054,Amazon/images/41rh5OREVnL.jpg,Amazon/images/41pBNiokb-L.jpg,3,5,10
2666,6212,Amazon/images/411xJdH-DFL.jpg,Amazon/images/41m0FgksT1L.jpg,3,5,10
2667,5530,Amazon/images/41m%2BVxxApOL.jpg,Amazon/images/41MedmiQ68L.jpg,3,5,10
2690,9411,Amazon/images/31bW5l3muhL.jpg,Amazon/images/41m0FgksT1L.jpg,3,5,10
2705,6218,Amazon/images/41iP1s47DkL.jpg,Amazon/images/41m0FgksT1L.jpg,3,5,10
2746,4165,Amazon/images/41JFKTyh9OL.jpg,Amazon/images/41V5aOwwlGL.jpg,2,4,10
2755,7963,Amazon/images/51Giv3JRGXL.jpg,Amazon/images/4170fAW4x%2BL.jpg,"2,3",5,8
2759,5618,Amazon/images/41hp2Sz8dnL.jpg,Amazon/images/41m0FgksT1L.jpg,3,5,10
2761,9260,Amazon/images/51nZxG4mY7L.jpg,Amazon/images/413XBtx7k5L.jpg,2,5,8
2768,7253,Amazon/images/51JKeE%2BVeOL.jpg,Amazon/images/41YSHdiROIL.jpg,"2,3",5,10
2783,8883,Amazon/images/41h5sXAL9ZL.jpg,Amazon/images/41AN-y8OE2L.jpg,3,5,10
2826,6637,Amazon/images/51yNaqAWoQL.jpg,Amazon/images/41tcYHChHoL.jpg,2,11,10
2828,11473,Amazon/images/51br0-RwIhL.jpg,Amazon/images/51oSaj2BUCL.jpg,3,5,10
2846,2107,Amazon/images/41rI0A5Si7L.jpg,Amazon/images/413YvtgV2FL.jpg,2,4,10
2872,7961,Amazon/images/41qGEff%2BDfL.jpg,Amazon/images/41qiQqqLDUL.jpg,3,5,10
2926,7970,Amazon/images/41SLN8QsyUL.jpg,Amazon/images/41qiQqqLDUL.jpg,3,5,10
2937,7796,Amazon/images/41VfkD7W1YL.jpg,Amazon/images/41pBNiokb-L.jpg,3,5,10
2988,1436,Amazon/images/41W41CUmLuL.jpg,Amazon/images/41N1o69lE5L.jpg,3,5,1
3010,8668,Amazon/images/41KWaW944hL.jpg,Amazon/images/41PEyVgOtiL.jpg,3,5,1
3085,8928,Amazon/images/414SYsu1jvL.jpg,Amazon/images/51oSaj2BUCL.jpg,2,5,10
3087,6077,Amazon/images/413iVgXr1nL.jpg,Amazon/images/41GWdq%2BOpyL.jpg,3,5,1
3094,10379,Amazon/images/41B08bgEfiL.jpg,Amazon/images/4162-T9AazL.jpg,3,5,8
3110,7582,Amazon/images/51ucA1I9nKL.jpg,Amazon/images/4170fAW4x%2BL.jpg,3,5,8
3124,10021,Amazon/images/41AvgQD-sML.jpg,Amazon/images/41YSHdiROIL.jpg,3,5,10
3133,6480,Amazon/images/414p4ZnOEQL.jpg,Amazon/images/41m0FgksT1L.jpg,3,5,10
3134,2076,Amazon/images/41OltKFeT0L.jpg,Amazon/images/41Ww5lQOsrL.jpg,3,5,10
3135,11156,Amazon/images/41xuZV4rPvL.jpg,Amazon/images/41yqbdgEIeL.jpg,3,5,10
3136,10411,Amazon/images/41HZ8Cz6TyL.jpg,Amazon/images/4162-T9AazL.jpg,3,5,8
3137,10908,Amazon/images/41Cansf3%2BCL.jpg,Amazon/images/41tcYHChHoL.jpg,2,4,10
3142,9775,Amazon/images/41jPqnUXJzL.jpg,Amazon/images/413XBtx7k5L.jpg,2,4,8
3143,6842,Amazon/images/41Xdjbw9gnL.jpg,Amazon/images/41kr4bjN6tL.jpg,2,4,8
3146,10454,Amazon/images/41U59tdamoL.jpg,Amazon/images/41n39srVFAL.jpg,3,5,10
3149,582,Amazon/images/41pQSp%2Bb4wL.jpg,Amazon/images/41sjQKFsskL.jpg,3,5,8
3155,7385,Amazon/images/41Azd5QZUoL.jpg,Amazon/images/41HbOiyS4jL.jpg,2,11,10
3160,9018,Amazon/images/41GBcqlavqL.jpg,Amazon/images/4182ZwGiNXL.jpg,2,11,10
3175,2029,Amazon/images/41TN8vsO%2BkL.jpg,Amazon/images/41qiQqqLDUL.jpg,3,5,10
3183,6137,Amazon/images/41mKn5nSQ-L.jpg,Amazon/images/41Z2OsRDqCL.jpg,2,4,8
3190,8109,Amazon/images/41o%2B7qjXp0L.jpg,Amazon/images/41qiQqqLDUL.jpg,3,5,10
3191,6750,Amazon/images/41U59tdamoL.jpg,Amazon/images/41%2BQyeeT9LL.jpg,3,5,10
3223,11398,Amazon/images/411y6iHsYmL.jpg,Amazon/images/51oSaj2BUCL.jpg,3,5,10
3245,6561,Amazon/images/41thhHO72pL.jpg,Amazon/images/41HdicjYxPL.jpg,2,11,10
3260,9396,Amazon/images/411y6iHsYmL.jpg,Amazon/images/41m0FgksT1L.jpg,3,5,10
3261,8228,Amazon/images/41ovX61PCEL.jpg,Amazon/images/415uEMF9eZL.jpg,2,4,10
3263,11792,Amazon/images/41p9Olu9OAL.jpg,Amazon/images/41buzrITqKL.jpg,3,5,8
3265,10286,Amazon/images/514-eBF%2B59L.jpg,Amazon/images/41HIAEnWKWL.jpg,2,5,8
3271,10900,Amazon/images/41DWiUKjYAL.jpg,Amazon/images/4182ZwGiNXL.jpg,2,4,10
3320,11091,Amazon/images/41wgXXJGiCL.jpg,Amazon/images/41WS2UdCGXL.jpg,2,3,8
3329,10923,Amazon/images/410E76hsG0L.jpg,Amazon/images/41AN-y8OE2L.jpg,3,5,10
3346,8158,Amazon/images/41ELM5pQxZL.jpg,Amazon/images/410VZ73tEnL.jpg,2,4,10
3349,9243,Amazon/images/416Je7twzmL.jpg,Amazon/images/41pBNiokb-L.jpg,3,5,10
3354,3885,Amazon/images/41wlYzgOm1L.jpg,Amazon/images/41NXceFkwCL.jpg,3,5,8
3356,6877,Amazon/images/41o%2BDoT-xZL.jpg,Amazon/images/41E7EhoW9uL.jpg,3,5,10
